antidep,var_id,cgrp,ctype,code,coef,likelir,vif,description,notes,Proper,Revised
CITALOPRAM,584,dxo,ICD9,78906,-0.06,0.85,1.13,"ABDOMINAL PAIN, EPIGASTRIC",ABDOMINAL PAIN,"Abdominal Pain, Epigastric",Epigastric Abdominal Pain
Less common antidepressants or combination of antidepressants,590,dxo,ICD9,78906,-0.06,0.89,1.18,"ABDOMINAL PAIN, EPIGASTRIC",ABDOMINAL PAIN,"Abdominal Pain, Epigastric",Epigastric Abdominal Pain
Less common antidepressants or combination of antidepressants,591,dxo,ICD9,78907,-0.05,0.85,1.16,"ABDOMINAL PAIN, GENERALIZED",ABDOMINAL PAIN,"Abdominal Pain, Generalized",Generalized Abdominal Pain
CITALOPRAM,586,dxo,ICD9,78909,-0.04,0.82,1.15,"ABDOMINAL PAIN, OTHER SPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Other Specified Site",Other than Epigastric or Generalized Abdominal Pain 
DULOXETINE,599,dxo,ICD9,78909,-0.08,0.86,1.14,"ABDOMINAL PAIN, OTHER SPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Other Specified Site",Other than Epigastric or Generalized Abdominal Pain 
SERTRALINE,570,dxo,ICD9,78909,-0.05,0.81,1.15,"ABDOMINAL PAIN, OTHER SPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Other Specified Site",Other than Epigastric or Generalized Abdominal Pain 
CITALOPRAM,579,dxo,ICD9,78900,-0.05,0.85,1.27,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
DULOXETINE,592,dxo,ICD9,78900,-0.06,0.91,1.18,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
ESCITALOPRAM,559,dxo,ICD9,78900,-0.04,0.96,1.12,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
FLUOXETINE,543,dxo,ICD9,78900,-0.04,0.88,1.18,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
PAROXETINE,565,dxo,ICD9,78900,-0.06,0.85,1.15,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
SERTRALINE,563,dxo,ICD9,78900,-0.06,0.84,1.27,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
VENLAFAXINE,559,dxo,ICD9,78900,-0.07,0.86,1.09,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
Less common antidepressants or combination of antidepressants,585,dxo,ICD9,78900,-0.03,0.9,1.3,"ABDOMINAL PAIN, UNSPECIFIED SITE",ABDOMINAL PAIN,"Abdominal Pain, Unspecified Site",Abdominal Pain
PAROXETINE,591,dxo,ICD9,79500,-0.13,0.73,1.02,ABNORMAL GLANDULAR PAPANICOLAOU SMEAR OF CERVIX,OTHER SCREENING FOR SUSPECTED,Abnormal Glandular Papanicolaou Smear Of Cervix,Abnormal Glandular Papanicolaou Smear Of Cervix
ESCITALOPRAM,523,dxo,ICD9,7831,0.06,1.13,1.01,ABNORMAL WEIGHT GAIN,OTHER NUTRITIONAL; ENDOCRINE;,Abnormal Weight Gain,Abnormal Weight Gain
SERTRALINE,528,dxo,ICD9,7831,0.06,1.03,1.01,ABNORMAL WEIGHT GAIN,OTHER NUTRITIONAL; ENDOCRINE;,Abnormal Weight Gain,Abnormal Weight Gain
VENLAFAXINE,523,dxo,ICD9,7831,0.07,1.07,1.02,ABNORMAL WEIGHT GAIN,OTHER NUTRITIONAL; ENDOCRINE;,Abnormal Weight Gain,Abnormal Weight Gain
CITALOPRAM,403,dxo,ICD9,6260,-0.06,0.71,1.06,ABSENCE OF MENSTRUATION,MENSTRUAL DISORDERS,Absence Of Menstruation,Absence Of Menstruation
ESCITALOPRAM,387,dxo,ICD9,6260,-0.1,0.77,1.03,ABSENCE OF MENSTRUATION,MENSTRUAL DISORDERS,Absence Of Menstruation,Absence Of Menstruation
Less common antidepressants or combination of antidepressants,406,dxo,ICD9,6260,-0.09,0.64,1.03,ABSENCE OF MENSTRUATION,MENSTRUAL DISORDERS,Absence Of Menstruation,Absence Of Menstruation
CITALOPRAM,750,rx,GEN,G00135,-0.04,0.9,1.02,ACETAMINOPHEN WITH CODEINE,NARCOTIC ANALGESICS,Acetaminophen With Codeine,Acetaminophen With Codeine
SERTRALINE,746,rx,GEN,G00135,-0.06,0.9,1.02,ACETAMINOPHEN WITH CODEINE,NARCOTIC ANALGESICS,Acetaminophen With Codeine,Acetaminophen With Codeine
VENLAFAXINE,730,rx,GEN,G00135,-0.06,0.88,1.02,ACETAMINOPHEN WITH CODEINE,NARCOTIC ANALGESICS,Acetaminophen With Codeine,Acetaminophen With Codeine
SERTRALINE,415,dxo,ICD9,7020,0.06,1.33,1.15,ACTINIC KERATOSIS,OTHER SKIN DISORDERS,Actinic Keratosis,Actinic Keratosis
CITALOPRAM,351,dxo,ICD9,53500,-0.1,0.83,1.04,ACUTE GASTRITIS WITHOUT MENTION OF HEMORRHAGE,GASTRITIS AND DUODENITIS,Acute Gastritis Without Mention Of Hemorrhage,Acute Gastritis Without Mention Of Hemorrhage
PAROXETINE,339,dxo,ICD9,53500,-0.1,0.81,1.02,ACUTE GASTRITIS WITHOUT MENTION OF HEMORRHAGE,GASTRITIS AND DUODENITIS,Acute Gastritis Without Mention Of Hemorrhage,Acute Gastritis Without Mention Of Hemorrhage
Less common antidepressants or combination of antidepressants,359,dxo,ICD9,53500,-0.05,0.86,1.05,ACUTE GASTRITIS WITHOUT MENTION OF HEMORRHAGE,GASTRITIS AND DUODENITIS,Acute Gastritis Without Mention Of Hemorrhage,Acute Gastritis Without Mention Of Hemorrhage
DULOXETINE,319,dxo,ICD9,4619,0.04,1.04,1.05,"ACUTE SINUSITIS, UNSPECIFIED",OTHER UPPER RESPIRATORY INFECT,"Acute Sinusitis, Unspecified",Acute Sinusitis
